entity,uid
北京蓝天瑞德环保技术股份有限公司,2146341
福佑卡车,2146779
海南航空控股股份有限公司,2146933
广州市财京融资担保有限公司,2148028
合慧伟业,2150490
易见供应链管理股份有限公司,2150899
金智信息,2153356
君正集团,2154602
蓝瀚,2154926
恒丰银行,2155840
华夏幸福,2156719
乐视,2157230
康得新,2157720
B站,2159465
上海宏达矿业股份有限公司,2160267
苏州银行,2162279
"csdn""密码外泄门""持续发酵，22日，网上曝出人人网",2162845
中信证券,2163014
印纪娱乐传媒股份有限公司,2167953
西安大唐,2169000
锂电科技,2169682
湖北知音传媒股份有限公司,2170644
中国铁物,2171455
康美药业,2172382
金立,2173166
深圳墨麟科技股份有限公司,2173807
陕西坚瑞沃能股份有限公司,2174493
京粮控股,2174792
广州证券,2174877
苏州泰嘉电子股份有限公司,2177431
Yalla,2178426
Ola,2178426
平湖悦泽,2178519
太原狮头水泥股份有限公司,2179951
哈药集团,2182294
国民投资,2182430
浙江一景乳业股份有限公司,2182665
上海岩石企业发展股份有限公司,2182919
万达信息,2183388
万豪,2183388
庄胜地产,2183827
财信金控集团,2183852
中钢国际工程技术股份有限公司,2184357
广州证券,2185211
中国证券登记结算有限责任公司深圳分公司,2185451
上海交大昂立股份有限公司,2187152
江苏连云港港口股份有限公司,2187505
宝通科技,2190118
陕西坚瑞沃能股份有限公司,2190228
丹东欣泰电气股份有限公司,2190914
中国民生银行股份有限公司汕头分行,2191276
安顺国资,2192495
天津创业环保集团股份有限公司,2193667
冠县新宇制钢有限公司,2197400
法拉第未来,2197707
民生银行,2201862
上钢(上海冶金控股集团公司),2201934
FF,2203010
安徽国风塑业股份有限公司,2204242
绿地控股集团股份有限公司,2206002
康美药业,2206173
山东龙力生物科技股份有限公司,2207016
国瑞矿业,2207513
同益实业,2214577
武汉中商集团股份有限公司,2216177
同行业,2216177
的最后一年,2216177
ofo,2216958
FaradayFuture,2217739
中利集团,2218637
乐视,2219631
京汉实业投资股份有限公司,2219664
南京新百,2219961
申通快递,2221075
江苏通达动力科技股份有限公司,2223563
辅仁药业,2223957
中天金融集团股份有限公司,2224727
绿城,2224904
乐视,2225255
天马轴承集团股份有限公司,2228754
大同证券信托,2229933
恒大地产,2231624
昊天公司,2234315
禾声科技,2234902
安见汉时科技有限公司,2235493
海航创新,2236504
广东粤海公司,2237608
吉利,2238266
沈阳大吉实业有限公司,2243189
西安大唐,2244331
通用,2244403
中国船舶,2247395
facebook,2248376
暴风集团,2249583
丽港稀土公司,2250586
今日头条,2250667
海南中航特玻,2250833
华塑控股股份有限公司,2250988
宝能,2251562
经纬纺织机械股份有限公司,2252178
金科机电科技股份有限公司,2252547
湖北天发实业集团有限公司,2252629
摩根士丹利华鑫证券有限责任公司,2256720
广东粤海公司,2257221
康美药业,2258503
广州证券,2260513
宁波市镇海银亿股份有限公司开发有限公司,2260869
日照港集团有限公司,2261804
嘀嘀“挖墙脚”达成调解撤诉今年2月，高德软件有限公司,2262062
Uber,2262206
汇金科技,2263350
康美药业,2264672
越秀金控,2264723
伟信担保,2266994
华宸建设集团股份有限公司,2268345
万豪国际,2269648
康美,2270146
上市公司,2271162
深圳市远望谷信息技术股份有限公司,2271162
唐山港集团股份有限公司,2271162
康美药业,2272408
鹤壁市反光材料有限公司,2272451
康美药业,2272474
第63条,2272474
吉利,2272697
OFO,2273694
山东能源集团,2273839
国海证券,2275962
华平信息技术股份有限公司,2276578
浙江步森服饰股份有限公司,2277267
丹东欣泰电气股份有限公司,2278135
也存在,2278135
大连福美贵金属贸易有限公司,2279653
康美药业,2280321
浙江吉利控股集团,2281418
中原特钢股份有限公司,2281949
温氏投资,2281949
招商蛇口,2283125
中弘股份,2283364
六国化工,2284706
京东,2285364
拜腾,2285529
西南证券股份有限公司,2286036
吉利汽车,2289357
重庆茂余燃气设备股份有限公司公司,2295741
易到用车,2298572
大连控股,2298865
庞大集团,2299660
河南曙光汇知康生物科技股份有限公司,2303109
中海发展,2306938
ST中南,2307141
英唐智控,2307242
钱包金服,2307870
云南鸿翔一心堂药业(集团)股份有限公司,2308266
凯瑞德控股股份有限公司,2310219
青年汽车集团有限公司,2310480
众泰汽车,2311044
网利宝,2311130
营口港务股份有限公司,2311514
珠海金稻公司,2312276
乐视网信息技术(北京)股份有限公司,2313423
丹东银行,2316085
浙江仁智股份有限公司,2316195
海南瑞泽新型建材股份有限公司,2317782
摩根士丹利华鑫证券有限责任公司,2319313
徐工集团工程机械股份有限公司,2319432
浙江金洲管道科技股份有限公司,2320120
山东黄金矿业股份有限公司,2320120
江西赣锋锂业股份有限公司,2320120
南京文澜崇光房地产开发有限公司,2321788
长乐亚新污水处理有限公司,2323079
陕西坚瑞沃能股份有限公司,2328487
康美药业,2332933
中国三峡集团,2333328
华龙包装,2334387
龙薇传媒,2336630
绿城,2337138
运盛,2337818
康美药业,2339385
河南科迪乳业股份有限公司,2342403
上海江苏华源建筑设计研究院股份有限公司有限公司,2343354
德国德司达公司,2343454
坚瑞沃能,2344507
四川泰合置业集团有限公司,2345487
中闽能源,2345614
洋河股份,2347067
福建众和股份有限公司,2347758
吉林华微电子股份有限公司,2348088
武汉中商集团股份有限公司,2349694
"重庆三峡水利电力,集团,股份有限公司",2350585
博源集团,2350900
华泰珠宝发展(上海)股份有限公司,2352147
2016年2月,2352147
乐视网信息技术(北京)股份有限公司,2352422
吉利汽车,2352456
ST康美,2356265
ST海马,2359559
百视通新媒体股份有限公司,2360140
北汽集团,2360176
徐州科融环境资源股份有限公司,2361129
永泰能源,2362643
Uber,2363438
中弘股份,2363603
齐星集团,2363918
秋林集团,2365185
摩根士丹利华鑫证券有限责任公司,2367436
乐视,2367559
中船科技,2367956
东芝,2369047
包商银行,2370030
北京酷车易美网络科技有限公司,2370160
不正当竞争行为,2370160
康美药业,2372294
农业银行,2373061
厦门市住房置业担保有限公司,2375716
广东风华高新科技股份有限公司,2377716
浙江天禄能源有限公司,2379945
康美药业,2380462
华平信息技术股份有限公司,2382411
恒大地产,2386110
浙江吉利汽车研究院有限公司,2388865
中民投,2390515
理想宝公司,2390632
000839)集团,2390817
000839,2390817
安进公司,2391155
安徽盛运环保,2391519
中国铁物,2395779
安信信托,2396755
信托,2396755
长城资产,2396793
赫美,2398182
江苏昆山通用电气有限公司,2398952
中国工商银行股份有限公司,2399383
阳朔一尺水实业投资开发有限公司,2401535
睿康投资,2407929
北方信托,2408526
年富供应链,2410823
汉寿广源麻业,2411913
中科云网科技集团股份有限公司,2412100
中科云网科技集团股份有限公司,2412433
三菱汽车公司,2413519
万科,2414176
英利,2417860
嘉联支付,2418969
康美药业,2419396
黄石百盛公司,2419551
广州金谷影视投资有限公司,2419658
四川升达林业产业股份有限公司,2419727
天津滨海能源发展股份有限公司,2419853
华强公司,2420093
恒大地产,2420172
蓝盾股份,2422699
深圳大通实业股份有限公司,2424005
安徽天智信息科技集团股份有限公司,2426827
网信证券,2426878
凯迪生态,2426913
日照港,2427750
湖南千山制药机械股份有限公司,2429820
湖南千山制药机械股份有限公司,2429820
*ST昆机,2430366
康美药业,2430781
东方日升,2431506
华为,2432829
康美药业,2432882
天翔环境,2435426
山西安泰集团股份有限公司,2437454
上海中毅达股份有限公司,2438235
信托,2439400
西安大唐,2440349
云南煤化,2440777
江苏蓝创智能科技股份有限公司,2442900
深圳粤海实业投资发展有限公司,2445639
泰禾集团,2445913
长城资产,2446282
光电公司,2448479
深圳美丽生态股份有限公司,2449524
大唐煤化工,2449964
facebook,2450192
美国HerculesOffshore公司,2453590
贵州天宸不动产投资管理有限公司,2455871
暴风,2457503
康美,2458636
广厦控股,2459473
海南中平木业有限公司,2459657
泰德建实业公司,2459919
北京能源集团,2461521
中弘股份,2463118
天风证券,2463458
金亚科技股份有限公司,2463685
天海防务,2464777
Uber,2465962
山西交控集团,2466550
双环传动,2466578
崇文支行,2467398
北京顺达创业投资担保有限公司,2467398
北京顺达创业投资担保有限公司,2467398
阳光凯迪,2469469
康得集团,2470200
庞大集团,2470359
智联招聘,2470941
信达投资,2471036
平安养老,2471622
交通银行股份有限公司齐齐哈尔分行,2473154
成都豪能科技股份有限公司,2473797
安邦集团,2473863
润达医疗,2474059
南京金蛋科技股份有限公司,2474987
湖南千山制药机械股份有限公司,2475800
光明地产,2477263
中天,2477287
北京首商集团股份有限公司,2480403
云南省国有资本运营有限公司,2481494
韩国三星电子,2482124
西藏银河科技发展股份有限公司,2483355
广州白云山医药集团股份有限公司,2484465
神雾集团,2486046
紫光国微,2488786
湖北金大昌中小企业融资担保有限公司,2490339
中国铁物,2491921
日照港,2496097
太原狮头水泥股份有限公司,2496657
天津燕宇置业有限公司,2496717
北京新娱,2497827
深圳市艾比森光电股份有限公司,2497882
物美,2498951
东旭光电,2499219
Facebook,2499269
北京华录百纳影视股份有限公司,2501655
上海中技企业集团有限公司,2501874
亿阳集团,2502651
甘肃皇台酒业股份有限公司,2504146
上海安威士科技股份有限公司,2507155
湖南水总水电建设集团有限公司,2508839
丰盛集团,2508917
洛阳智达石化工程有限公司,2510061
华棉网科技,2510907
延安必康,2511680
永泰能源,2512897
天翔环境,2513128
冠昊生物科技股份有限公司,2514045
山西飞宇,2514772
甘肃银行,2515518
广州市佳源实业有限公司,2516046
吉林粮食集团有限公司,2516490
航天通信,2516634
学网,2517528
山东龙力生物科技股份有限公司,2517554
陕西坚瑞沃能股份有限公司,2519044
神雾环保技术股份有限公司,2520842
奥马电器,2521758
三鼎集团,2522888
恒康医疗集团股份有限公司,2524594
通化金马,2525873
北方国际信托,2526095
中江信托,2527060
兴业矿业,2527141
康得投资集团有限公司,2527248
宏图高科,2527686
TCL集团,2528252
德力西集团有限公司,2528376
德长环保股份有限公司,2528376
宁波杉杉股份有限公司,2529019
中民国际融资租赁股份有限公司,2529252
金元证券,2529630
康美药业,2529651
皇氏集团股份有限公司,2530068
青海盐湖工业股份有限公司,2531597
新光控股,2531800
华昇资产管理有限公司,2532651
ofo,2535275
微影,2535731
工夫影业,2535731
四川众明共创企业管理咨询有限公司,2535733
信威集团,2537046
金信基金,2538732
网信证券,2539469
博创科技股份有限公司,2540443
巴士在线股份有限公司,2541072
亿利洁能,2542484
敦煌种业,2542484
嘉寓股份,2542484
飞乐音响,2542484
深圳市大富科技股份有限公司,2543550
广东先强药业有限公司,2543842
永泰能源股份有限公司,2544670
包商银行,2545030
东兴证券,2545995
金舵投资,2547085
广州证券,2547367
瑞银证券,2547650
斯太尔动力股份有限公司,2547850
江苏润邦重工股份有限公司,2548568
阿里,2551186
华夏银行,2553494
华夏银行股份有限公司,2553494
安徽强英鸭业集团有限公司,2555159
航天动力,2556250
江苏连云港港口股份有限公司,2557104
西安大唐,2557950
圆通速递股份有限公司,2560702
清华控股,2561357
菊隆高科公司,2561631
中华企业,2563133
庞大集团,2563695
康得新,2568269
去哪儿网,2568299
西藏银河科技发展股份有限公司,2570265
脸书,2571087
广药集团,2573851
康美,2573851
康美,2573851
如果,2573851
~,2573851
广州证券股份有限公司,2574194
吉利,2574221
安徽盛运环保(集团)股份有限公司,2575552
川化股份,2575558
洛娃集团,2576555
佛山实现梦想科技有限公司,2578520
木林森,2578974
大富配天投资,2584581
万豪酒店,2585648
同方友友,2586846
康美药业,2587033
富源公司,2587682
中信证券,2590695
中信证券,2590695
北京嘉林药业股份有限公司,2592902
ST白兔湖,2595317
京东,2597949
浙江吉利汽车研究院有限公司,2598241
大兴安岭农垦,2599570
铜陵精达特种电磁线股份有限公司,2600167
广州吉福物流配送有限公司,2601297
南华生物医药股份有限公司,2601487
永泰能源,2602209
降息机构,2602209
河北兴邦车业股份有限公司,2602475
山东龙力生物科技股份有限公司,2602560
康美药业,2603239
铁牛集团,2603315
鄂州恩康服饰有限公司,2605647
达内时代科技集团,2606371
北京华泰润达节能科技有限公司,2607139
上海海博鑫惠国际贸易有限公司公司,2607329
文山七合农业科技发展股份有限公司,2607407
中弘控股股份有限公司,2608305
中民投,2609852
苹果公司,2609928
河南新东方置业,2611573
truemoveh,2612736
"四通巨光高新技术发展,控股,有限公司",2612850
渤海活塞,2614224
中法人寿,2616069
永泰能源,2617445
*ST信威,2619241
永泰能源,2620017
田中精机,2620633
中策,2622278
山东润成汽车销售融资担保有限公司,2623216
龙薇传媒,2625283
国开行,2625554
新乐视智家,2626135
鄂尔多斯市亚峰煤炭集团有限公司,2626883
北京能源集团,2629979
康得新,2630190
通用,2630198
康得新,2630368
重庆钢铁,2630693
信融财富,2630914
华业资本,2631077
潍柴集团,2631294
ofo,2633307
GW科技,2634433
凯瑞德控股股份有限公司,2636191
精功系,2637039
恒天中岩,2638836
山西澳坤生物农业股份有限公司,2639879
跨境通宝电子商务股份有限公司,2640768
国盛金控,2641372
康美药业,2641839
融华信托,2643743
暴风集团股份有限公司,2645027
奥瑞德光电股份有限公司,2645900
泛海控股,2647399
武汉泛海城市广场开发投资有限公司,2647399
武汉公司,2647399
武汉公司,2647399
武汉公司,2647399
浙江吉利汽车研究院有限公司,2647605
京东,2648291
山西安泰集团股份有限公司,2649265
江南嘉捷电梯股份有限公司,2652454
博源控股,2653681
暴风,2653722
浙富控股,2658021
中科云网科技集团股份有限公司,2663357
中泰证券,2663922
青年莲花,2664517
庞大集团,2667684
北京威卡威汽车零部件股份有限公司,2668546
焦作万方铝业股份有限公司,2669753
ofo,2673912
暴风智能,2674434
*ST华业,2674987
重庆思亚医药,2674987
能否注入,2674987
安徽勤上公司,2677328
振兴生化股份有限公司,2678803
洪都航空,2680119
金洲慈航,2680328
兔宝宝,2681116
奥林巴斯,2681232
蒙牛乳业,2681836
智联招聘,2682338
广州证券,2683570
四川天府银行股份有限公司,2683703
泛海控股,2684075
龙薇传媒,2685548
包钢股份,2687209
麦克奥迪,2688588
风华高科,2690007
ofo,2693198
金立,2695374
东海证券,2695605
康美,2696429
*ST百特,2698600
民众金融,2701400
山东能源集团,2703293
广州荣星房地产发展有限公司,2704863
特斯拉,2705354
上海新梅置业股份有限公司,2705807
北讯集团,2707979
中青旅实业,2708268
恒安公司,2708822
山东省金融资产管理股份有限公司,2710326
康美药业,2710637
康美,2710637
这公司,2710637
,2710637
康得新,2710657
复地投资,2712936
广东万家乐股份有限公司,2713693
嘉事堂药业股份有限公司,2714332
九州通,2714751
海马,2715042
康美药业,2715127
垃圾分类,2715455
家乐福中国,2715455
海印股份,2715455
*ST步森,2715455
安信信托,2715455
一汽轿车,2715455
绿地控股,2715455
科斯伍德,2715455
华融晋商,2715455
神雾环保,2715455
吴通控股,2715455
摩登大道,2715455
荣科科技,2715455
金康新能源,2715455
中科云网科技集团股份有限公司,2716184
*ST利源,2717057
广东自动化电气股份有限公司,2717154
阿里,2717651
广州证券,2718094
五洋建设,2720045
康美药业,2722934
中信银行,2723778
facebook,2723816
长川科技,2724061
永泰能源,2724330
中城建,2725874
国海证券,2726681
内蒙君正,2729855
中信国安,2730041
顺丰,2733194
福建三木集团股份有限公司,2733777
中信证券,2734965
康美,2735843
牡丹江国富投资,2736030
振静股份,2737653
我爱我家,2738848
网易考拉,2739084
大富配天投资,2739239
复星旅文,2739586
铜陵精达特种电磁线股份有限公司,2740294
招商证券,2740831
德奥通用航空股份有限公司,2741313
五洋建设,2741453
2013-2014年度虚假财务文件,2741453
未按规定,2741453
百济神州,2742060
中国船舶,2742842
博源控股,2743285
英利,2744155
三六零安全科技股份有限公司,2744209
包商银行,2744664
中信证券,2745253
华锐风电科技(集团)股份有限公司,2745339
中南文化,2745786
货车帮,2746076
江阴银行,2746497
江阴银行,2746497
中信证券,2746890
今创集团股份有限公司,2747939
国民技术股份有限公司,2752444
招商银行股份有限公司,2752707
三联集团,2753325
西南投资,2756207
广汇汽车服务股份公司,2757212
小笋公司,2758471
北京华宇软件股份有限公司,2759332
江南嘉捷电梯股份有限公司,2761901
汉能控股集团,2762016
中国龙工,2762387
东方电子,2762478
珠海中富实业股份有限公司,2762930
庞大集团,2763414
中汽华源公司,2767958
乐视,2768727
宁夏隆湖房地产开发集团有限公司,2769048
云南中豪集团,2771267
康美药业,2771315
中弘股份,2772578
九洲药业,2773319
金立,2773781
吉利,2775338
国蓉科技有限公司,2775373
大连电瓷集团股份有限公司,2776237
人人网,2778556
森源家具,2778871
华夏银行,2778979
华夏银行股份有限公司,2778979
深圳市兆新能源股份有限公司,2779151
河北银行,2780522
龙薇文化,2780765
中海信托,2781379
深圳市投资控股有限公司,2782453
IBM,2786146
山海天公司,2787007
陕西坚瑞沃能股份有限公司,2787121
中国长城资产管理股份有限公司四川省分公司,2787659
安徽白兔湖动力股份有限公司,2791117
亿阳信通股份有限公司,2791123
西安大唐,2791447
山东鸿源金属容器科技股份有限公司,2791612
安泰科技股份有限公司,2794381
北京腾信创新网络营销技术股份有限公司,2794732
辽宁曙光汽车集团股份有限公司,2795500
六国化工,2795591
facebook,2795613
app,2795613
wi-fi万能钥匙,2795613
庞大集团,2796040
恒健控股,2796072
韦博英语教育培训公司,2796644
东方红资管,2797456
天津市华景房地产开发有限公司,2797635
厦门易名科技股份有限公司,2802438
郑州兆佳科技,2802712
大唐发电,2804470
上海中兴易联通讯股份有限公司,2805650
广州证券,2807310
广州证券,2807310
广州证券,2807310
广州证券,2807310
广州证券,2807310
山东鲁北化工股份有限公司,2808642
立昂技术,2808790
中江信托,2808970
滨奥航空,2809575
亚夏汽车,2811194
国泰君安创新投资有限公司,2811662
摩根士丹利华鑫证券有限责任公司,2814453
招商证券,2814945
康得新,2815034
飞马国际,2815552
facebook,2815939
通用电气,2815993
脸书,2816217
中信国安集团,2816255
安信信托,2818912
集合资金信托,2818912
康得新,2818996
康得新,2819420
武安市热力总公司,2821876
Cruise,2822492
Facebook,2823349
先正达,2824957
日本东丽,2827231
高升控股股份有限公司,2827698
北京华录百纳影视股份有限公司,2830923
广州名客商务有限公司,2831498
深圳市聚贤投资有限公司,2831692
贵州乾宝通汇融资担保股份有限公司,2832215
黄河化工,2834280
洛阳银行,2836168
巨人网络,2836220
众宜风险管理网,2837772
东北证券,2837994
康美,2838360
国付宝,2839833
云南金源融资担保有限公司,2841574
北京海量数据技术股份有限公司,2842609
云计算,2842609
云服务,2842609
启迪桑德,2842867
安徽华信国际控股股份有限公司,2842914
恒瑞公司,2843254
中核华原钛白股份有限公司,2846176
风华高科,2846531
英达钢构,2846954
康德,2847999
中江信托,2848298
康得新,2848556
精功,2849535
重庆新兆投资,2850045
陕西坚瑞沃能股份有限公司,2851728
俊发集团,2852518
重庆思亚医药,2853075
深圳市理邦精密仪器股份有限公司,2854803
博创科技,2855969
华锐风电,2856878
楚昌投资,2856918
青岛红树林,2857342
越秀金控,2859216
中信证券,2859216
,2859216
每日经济新闻,2859216
康盛股份,2863652
中信证券,2865805
包商银行,2867078
安信信托,2868064
天风证券,2869834
吉利汽车,2870491
吉利,2870491
威马汽车,2870491
武汉商联集团,2872459
上海至纯洁净系统科技股份有限公司,2873316
浙江尤夫高新纤维股份有限公司,2873776
周大福投资,2873796
恒安公司,2874708
康得集团,2875378
银亿股份,2877977
东航,2878733
邮政集团公司,2881319
海外仓配,2881319
邮政,2881319
邮储银行,2881319
上海安威士科技股份有限公司,2882974
中信国安,2884981
江苏索普化工股份有限公司,2886601
平安,2887110
四川宏达股份有限公司,2888689
中信国安,2889521
大唐发电,2890296
圣莱达,2890968
康美,2894841
深圳市摩艾客科技股份有限公司,2894870
康得新,2895292
中正珠江,2897124
美年健康,2900063
恒大健康,2900306
西藏矿业发展股份有限公司,2904457
上海三毛企业,2905478
锦西化工总厂,2908298
盐湖股份,2908336
阳朔一尺水实业投资开发有限公司,2911587
中煤能源,2914505
快钱,2914623
日照港,2916322
中国民生银行股份有限公司,2919108
上海市松江县畜禽公司,2919334
西南证券股份有限公司,2919721
嘉联支付,2920201
金田实业,2920482
金立,2921922
华业资本,2922811
浙江核新同花顺网络信息股份有限公司,2923357
华为,2924747
优衣库,2924747
抚顺特殊钢股份有限公司,2926842
诚志股份,2926910
百花村,2929325
美国安然公司,2931301
中融民信,2931707
民生证券股份有限公司,2933411
沙钢集团,2935880
德奥通用航空股份有限公司,2938385
天翔环境,2938711
怡园酒业,2938887
红豆集团,2942056
园城黄金,2942056
德银,2942173
海航集团,2942173
德银,2942173
海航集团,2942173
中信国安集团,2944907
大连金泰表面工程科技股份有限公司,2945371
中泰信托,2948136
金亚科技,2950263
中船科技,2950771
易成新能,2951864
浙江吉利控股集团有限公司,2952966
广州万鸿文化传播有限公司,2956019
江苏省国际信托有限责任公司,2956092
垃圾分类,2957192
家乐福中国,2957192
海印股份,2957192
*ST步森,2957192
安信信托,2957192
一汽轿车,2957192
绿地控股,2957192
科斯伍德,2957192
华融晋商,2957192
神雾环保,2957192
吴通控股,2957192
摩登大道,2957192
荣科科技,2957192
金康新能源,2957192
国元证券,2959252
麦德龙中国,2960989
大连大福控股股份有限公司,2961553
广东澄星无人机股份有限公司,2963702
中国动力,2965099
庞大集团,2966708
交信集团,2970599
湖南千山制药机械股份有限公司,2973940
亿元,2973940
正,2973940
洗瓶机,2973940
,2973940
轮流,2973940
,2973940
湖南千山制药机械股份有限公司,2973940
中粮地产,2974154
国威科技,2974480
吉利,2974480
国威科技,2974480
吉利汽车,2974480
吉利汽车,2974480
吉利汽车,2974480
联赛金鹰基金,2976143
上海竹园国际旅行社,2976923
昆仑信托有限责任公司,2977978
梦网,2978408
比亚迪股份有限公司,2979930
宜昌城投房地产开发有限公司,2980350
江阴农商行,2980784
丹东欣泰电气股份有限公司,2981650
天翔环境,2981692
江特电机,2982191
广州证券,2982752
恒大地产,2985159
陕西坚瑞沃能股份有限公司,2985729
金港控股,2986654
跨境通宝电子商务股份有限公司,2989433
中融信托,2990108
上海易所试网络信息技术股份有限公司,2992060
东软集团,2992515
ST康美,2994595
康美药业,2994720
少计成本11亿,2994720
精功集团,2995241
深圳家电网科技实业股份有限公司,2995712
鼎家网络科技有限公司,2998512
康美药业,2999560
中航三鑫,2999726
三井制糖株式会社,3000484
环能科技股份有限公司,3002603
中远海控,3003794
深大通,3004993
北方国际信托股份有限公司,3005150
广东固基建筑工程有限公司,3005948
江苏宏达新材料股份有限公司,3006595
永泰能源股份有限公司,3006949
康美药业,3008074
金鹰基金管理有限公司,3008946
泛海控股,3010622
越秀金控,3012662
广州证券,3012662
国电南瑞科技股份有限公司,3014146
华润信托,3014370
贵州银行,3015068
泛海控股,3015696
恒大地产,3016413
大富配天投资,3017180
哈药集团股份有限公司,3017927
高瓴资本,3019164
高瓴资本,3019164
珠海明骏,3019164
高瓴资本,3019164
格力电器,3019164
永泰能源,3019208
保本保息函,3019208
江苏高能时代在线股份有限公司,3019354
南京港,3021852
ST华业,3022519
中山证券,3023239
易成新能,3023350
宝钢,3025108
山东黄金,3027222
深圳市宇顺电子股份有限公司,3029092
中城建,3029737
上海宽娱北京数码视讯科技股份有限公司,3032139
上海广泽食品科技股份有限公司,3032293
獐子岛,3033017
河北养元智汇饮品股份有限公司,3033742
中航三鑫,3034106
中航三鑫,3035581
华邦健康,3038738
顾地科技股份有限公司,3039172
东卡环保工程技术有限公司,3039482
华创阳安股份有限公司,3041951
万达,3042505
中国铁物,3043788
金鸿控股集团股份有限公司,3045274
宁波中百股份有限公司,3045496
广州证券,3047120
莱商银行,3049071
RIVIAN,3049692
安信信托,3050013
小牛在线,3054033
上海富控互动娱乐股份有限公司,3055082
会稽山,3055151
庞大集团,3055907
广州中茂园林建设工程有限公司,3056454
科林环保装备股份有限公司,3056581
陕西坚瑞沃能股份有限公司,3056647
ofo,3057034
海通证券,3060539
外贸,3060539
央行,3060539
重庆惠凌实业股份有限公司,3062884
楚昌投资,3063018
康美药业,3066738
康美,3066833
吉利,3067380
康美,3067963
中国城市建设控股集团有限公司,3069215
大唐煤化工,3071447
大唐煤化工,3071447
大唐煤化工,3071447
大唐煤化工,3071447
资本市场,3075512
康美药业,3075512
康得新,3076512
潞安环能,3076707
包头市自贡市商业银行股份有限公司,3077664
中纬,3078107
申通,3078219
华宝信托,3080542
安徽盛运环保,3082517
跨境通宝电子商务股份有限公司,3084676
大唐能源化工,3086521
中国华源集团有限公司,3087291
广发银行,3089442
天地科技股份有限公司,3091600
中信证券,3091797
江苏传艺科技股份有限公司,3092761
重庆茂余燃气设备股份有限公司公司,3092862
格物厚德,3095224
上海安威士科技股份有限公司,3095660
中民投,3097318
郑州宇通客车股份有限公司,3098058
浙江东晶电子股份有限公司,3098396
恒生电子股份有限公司,3098656
丰田汽车,3099555
花旗集团,3099647
冠昊生物科技股份有限公司,3099825
东方园林,3101245
杭州元信东朝,3105831
万达集团,3106806
财富星球,3107447
绿地控股,3109636
水果营行,3109675
华昌达智能装备集团股份有限公司,3111883
中如建工集团,3112201
安徽广源科技发展有限公司,3112254
中泰信托,3112371
康美药业,3112681
徐州科融环境资源股份有限公司,3113761
宝塔实业,3113960
有融网,3114669
观察家报》,3115511
滴滴,3117807
泰禾,3119719
沈阳新松机器人自动化股份有限公司,3122277
绿京华,3122723
山东黄金,3123319
康美药业,3123451
丹东港集团,3123987
石家庄泽兴氨基酸有限公司,3124247
深圳家电网科技实业股份有限公司,3124284
莱商银行,3125516
河北承德露露股份有限公司,3126234
凯瑞德控股股份有限公司,3127016
康美药业,3129146
北京泰迪熊移动科技有限公司,3132105
中科云网科技集团股份有限公司,3132760
正邦科技,3133535
天天快递,3137151
武汉雕龙医疗数据服务股份有限公司,3137185
精功科技,3137193
江苏雨润肉类产业集团有限公司,3137600
优衣库,3137900
迅销,3137900
中节能太阳能股份有限公司,3139420
武汉当代明诚文化股份有限公司,3141765
武汉金融控股集团,3141921
武汉金控,3141921
绿城房产,3141982
辽宁科隆精细化工股份有限公司,3142853
成都米米乐电子商务股份有限公司,3143432
惠博普,3145375
浙江吉利控股集团,3146069
